,Restaurant Name,City,Cuisine,Meal Name,Meal Price (€),Restaurant Rating,Meal Rating
1549,Elegant Cuisine Mülheim,Mülheim,Chinese,Fried Rice,5.93,5.0,1.0
1550,Authentic Tavern Bonn,Bonn,German,Labskaus,13.39,1.4,4.6
1551,Zesty Food Spot Wolfsburg,Wolfsburg,Turkish,Kumpir,63.69,2.6,1.3
1552,Grand Oasis Potsdam,Potsdam,Thai,Mango Sticky Rice,54.64,1.9,2.9
1553,Elegant Corner Düsseldorf,Düsseldorf,Mexican,Enchiladas,24.99,2.4,1.6
1554,Fresh Cellar Göttingen,Göttingen,Italian,Bolognese Pasta,6.24,2.8,4.5
1555,Elegant Den Offenbach,Offenbach,German,Haxe (Pork Knuckle),43.29,2.9,4.7
1556,Succulent Retreat Dortmund,Dortmund,Italian,Bruschetta,31.25,4.4,1.6
1557,Tasty Retreat Salzgitter,Salzgitter,German,Pretzel & Beer,76.43,3.2,4.0
1558,Delicious Grove Herne,Herne,Mexican,Tamales,20.84,1.6,3.4
1559,Juicy Palace Göttingen,Göttingen,Turkish,Pide,32.05,1.6,2.6
1560,Tasty Cafe Dortmund,Dortmund,Indian,Ras Malai,44.82,4.6,1.5
1561,Yummy Palace Hanover,Hanover,Indian,Gulab Jamun,34.23,4.7,1.2
1562,Grand Retreat Halle (Saale),Halle (Saale),Japanese,Soba Noodles,32.0,2.7,3.0
1563,Gourmet Diner Mannheim,Mannheim,Italian,Tiramisu,60.33,5.0,2.8
1564,Grand Delights Bielefeld,Bielefeld,Mediterranean,Briam,50.32,2.7,3.5
1565,Grand Grill Offenbach,Offenbach,Italian,Parmigiana,3.22,4.7,1.1
1566,Elegant Bites Bielefeld,Bielefeld,Chinese,Century Egg Congee,38.32,2.0,3.5
1567,Juicy Corner Erlangen,Erlangen,German,Weißwurst,18.68,3.4,1.2
1568,Heavenly Heaven Siegen,Siegen,Italian,Arancini,25.15,3.2,3.8
1569,Royal Bites Nuremberg,Nuremberg,German,Leberkäse,77.87,2.0,3.8
1570,Juicy Oasis Münster,Münster,Mexican,Enchiladas,54.13,3.6,4.4
1571,Smoky Flavors Salzgitter,Salzgitter,Turkish,Adana Kebab,8.69,2.3,3.8
1572,Exquisite Bistro Essen,Essen,Italian,Margherita Pizza,65.0,3.8,4.2
1573,Flavorful Feast Bochum,Bochum,Italian,Lasagna,14.12,1.4,4.1
1574,Authentic Diner Pforzheim,Pforzheim,Indian,Aloo Paratha,27.75,2.7,3.8
1575,Fusion Corner Bottrop,Bottrop,Mediterranean,Tzatziki,21.2,3.5,4.3
1576,Smoky Barbecue Mülheim,Mülheim,Japanese,Chirashi Sushi,8.43,1.6,3.4
1577,Fusion Gastronomy Pforzheim,Pforzheim,French,Moules Marinières,32.29,2.7,1.2
1578,Delicious Table Hamburg,Hamburg,Italian,Arancini,32.57,4.2,4.7
1579,Yummy Table Siegen,Siegen,Mexican,Guacamole & Chips,39.85,4.4,1.6
1580,Divine Cellar Heilbronn,Heilbronn,Chinese,Bok Choy Stir Fry,27.7,3.9,4.9
1581,Crispy Heaven Heidelberg,Heidelberg,Turkish,Meze Platter,54.7,2.1,4.7
1582,Vibrant Burger Spot Göttingen,Göttingen,Mexican,Churros,49.1,1.5,4.8
1583,Vibrant Feast Heilbronn,Heilbronn,German,Bratwurst,35.99,4.2,2.6
1584,Heavenly Pizza House Heilbronn,Heilbronn,German,Spätzle,17.99,3.5,1.5
1585,Authentic Retreat Trier,Trier,German,Schnitzel,52.51,2.8,4.7
1586,Delicious Bistro Chemnitz,Chemnitz,Turkish,Pide,15.73,1.9,2.4
1587,Authentic Oasis Halle (Saale),Halle (Saale),French,Quiche Lorraine,59.37,3.3,4.3
1588,Zesty Feast Frankfurt am Main,Frankfurt am Main,Turkish,Şiş Kebab,57.44,1.4,4.3
1589,Gourmet Table Lübeck,Lübeck,Turkish,Iskender Kebab,11.2,1.0,4.8
1590,Tasty Gastronomy Leipzig,Leipzig,French,Bouillabaisse,79.78,4.4,3.7
1591,Grand Burger Spot Reutlingen,Reutlingen,French,Moules Marinières,65.72,2.3,4.8
1592,Divine Hub Heidelberg,Heidelberg,Mediterranean,Shawarma,78.89,2.8,3.8
1593,Exquisite Cellar Frankfurt am Main,Frankfurt am Main,French,Beef Bourguignon,66.83,2.5,1.7
1594,Spicy Grill Wuppertal,Wuppertal,Chinese,Sichuan Hot Pot,3.37,2.0,2.3
1595,Authentic Palace Gelsenkirchen,Gelsenkirchen,Mediterranean,Shakshuka,38.49,4.1,1.7
1596,Grand Cafe Augsburg,Augsburg,Thai,Thai Fried Rice,20.19,4.8,3.0
1597,Tasty Feast Mainz,Mainz,German,Zwiebelkuchen,6.5,1.4,4.0
1598,Gourmet Resto Cologne,Cologne,Italian,Tagliatelle al Tartufo,28.03,4.9,3.8
1599,Elegant Heaven Wuppertal,Wuppertal,Turkish,Pide,4.72,3.8,2.6
1600,Crispy Burger Spot Chemnitz,Chemnitz,Indian,Tandoori Chicken,3.62,2.2,1.9
1601,Heavenly Grill Hamburg,Hamburg,Thai,Thai Fried Rice,23.28,1.6,2.4
1602,Juicy House Offenbach,Offenbach,Thai,Khao Pad Sapparod (Pineapple Fried Rice),38.75,4.1,3.4
1603,Sizzling Eats Koblenz,Koblenz,Indian,Dal Makhani,44.69,1.1,4.7
1604,Spicy Bistro Frankfurt am Main,Frankfurt am Main,Indian,Rogan Josh,45.44,1.0,4.4
1605,Crispy Gastronomy Regensburg,Regensburg,Italian,Gnocchi,32.77,1.5,1.5
1606,Sizzling Hub Mannheim,Mannheim,French,Macarons,10.92,4.4,4.9
1607,Fresh Kitchen Braunschweig,Braunschweig,Mediterranean,Greek Salad,73.38,4.1,3.1
1608,Juicy Feast Magdeburg,Magdeburg,French,Escargots,73.84,3.1,4.4
1609,Crispy Bites Siegen,Siegen,French,Coq au Vin,74.6,2.4,4.3
1610,Authentic Tavern Lübeck,Lübeck,Mediterranean,Saganaki,55.17,4.0,2.1
1611,Sizzling Food Spot Bielefeld,Bielefeld,Thai,Pad Kra Pao,45.74,3.2,3.8
1612,Zesty Grove Regensburg,Regensburg,Turkish,Etli Ekmek,29.46,2.2,3.0
1613,Crispy Oasis Mülheim,Mülheim,Indian,Dal Makhani,79.68,4.7,4.4
1614,Grand House Heilbronn,Heilbronn,Mexican,Fajitas,43.18,4.5,3.4
1615,Smoky Den Koblenz,Koblenz,German,Kartoffelsalat,20.74,1.2,3.8
1616,Savory Kitchen Aachen,Aachen,Chinese,Bok Choy Stir Fry,40.84,4.8,2.2
1617,Heavenly Burger Spot Salzgitter,Salzgitter,Chinese,Char Siu Pork,47.67,2.3,2.5
1618,Rustic Cellar Aachen,Aachen,French,Coq au Vin,8.41,2.8,1.2
1619,Juicy Food Spot Regensburg,Regensburg,German,Maultaschen,12.3,2.9,2.4
1620,Heavenly Grill Herne,Herne,Chinese,Century Egg Congee,33.46,3.5,3.3
1621,Succulent Delights Hanover,Hanover,Indian,Idli Sambar,41.9,1.2,3.8
1622,Rustic Feast Mülheim,Mülheim,Japanese,Onigiri,30.1,2.1,1.6
1623,Yummy Feast Bielefeld,Bielefeld,Italian,Ossobuco,24.9,4.9,3.0
1624,Sizzling Gastronomy Berlin,Berlin,German,Käsespätzle,31.87,4.0,3.3
1625,Fusion Table Magdeburg,Magdeburg,Mexican,Burrito,60.15,4.3,4.2
1626,Divine Kitchen Munich,Munich,French,Cassoulet,32.84,3.6,1.7
1627,Royal Gastronomy Trier,Trier,Mexican,Tacos,66.52,2.5,3.0
1628,Heavenly Grill Dortmund,Dortmund,Japanese,Ramen Bowl,76.17,3.5,1.4
1629,Delicious Table Chemnitz,Chemnitz,Mediterranean,Tabbouleh,22.72,4.7,2.8
1630,Smoky Kitchen Nuremberg,Nuremberg,French,Coq au Vin,73.9,1.3,2.8
1631,Vibrant Burger Spot Heilbronn,Heilbronn,Chinese,Hot and Sour Soup,35.34,1.6,1.5
1632,Royal Den Bonn,Bonn,Mexican,Ceviche,37.85,4.6,3.7
1633,Cozy Feast Leverkusen,Leverkusen,Chinese,Spring Rolls,43.07,1.3,1.6
1634,Golden Food Spot Aachen,Aachen,Mexican,Tacos,22.92,1.5,4.6
1635,Zesty Grove Regensburg,Regensburg,Turkish,Adana Kebab,7.46,2.5,4.3
1636,Juicy Diner Braunschweig,Braunschweig,Indian,Ras Malai,42.71,3.0,2.7
1637,Fusion Hub Braunschweig,Braunschweig,Mexican,Burrito,52.02,4.8,2.7
1638,Elegant Den Heidelberg,Heidelberg,Turkish,Hamsili Pilav,57.47,4.3,1.7
1639,Delicious Den Nuremberg,Nuremberg,French,Profiteroles,50.97,5.0,3.9
1640,Divine Grove Mülheim,Mülheim,Mexican,Guacamole & Chips,30.98,3.3,2.1
1641,Authentic Burger Spot Dortmund,Dortmund,French,Baguette with Cheese,63.8,2.1,3.0
1642,Flavorful Grill Regensburg,Regensburg,Indian,Butter Chicken,57.01,1.0,3.7
1643,Sizzling Burger Spot Chemnitz,Chemnitz,Italian,Calzone,79.64,1.5,4.6
1644,Fusion Retreat Nuremberg,Nuremberg,Italian,Calzone,20.64,2.9,3.3
1645,Delicious Pizza House Salzgitter,Salzgitter,Turkish,Menemen,20.55,3.7,1.6
1646,Heavenly Eats Siegen,Siegen,French,Bouillabaisse,64.29,2.3,1.3
1647,Sizzling Retreat Mannheim,Mannheim,Japanese,Tonkatsu,31.84,1.9,2.1
1648,Juicy Cuisine Lübeck,Lübeck,Mediterranean,Falafel,51.27,4.2,2.1
1649,Savory Gastronomy Augsburg,Augsburg,Italian,Ossobuco,15.19,1.2,4.7
1650,Exotic Hub Gelsenkirchen,Gelsenkirchen,Mediterranean,Shakshuka,20.43,3.8,1.6
1651,Heavenly Cafe Leipzig,Leipzig,French,Bouillabaisse,34.6,2.7,4.1
1652,Tasty Retreat Bochum,Bochum,Japanese,Gyoza,17.86,2.1,4.6
1653,Smoky Kitchen Münster,Münster,Mexican,Tamales,41.35,1.2,2.0
1654,Vibrant Oasis Mülheim,Mülheim,Indian,Chicken Tikka Masala,64.13,4.2,3.3
1655,Sizzling Pizza House Potsdam,Potsdam,Italian,Parmigiana,62.86,3.7,2.8
1656,Golden Den Regensburg,Regensburg,Thai,Tom Yum Soup,56.28,4.0,2.8
1657,Fusion Delights Nuremberg,Nuremberg,Italian,Caprese Salad,2.84,3.9,2.0
1658,Royal Burger Spot Dortmund,Dortmund,Japanese,Tonkatsu,11.64,2.0,3.1
1659,Tasty Bites Bottrop,Bottrop,Mediterranean,Hummus & Pita,55.8,4.7,2.8
1660,Cozy Pizza House Pforzheim,Pforzheim,French,Crème Brûlée,3.09,4.7,2.3
1661,Royal Eats Augsburg,Augsburg,Indian,Palak Paneer,70.06,5.0,4.2
1662,Exotic Food Spot Munich,Munich,Chinese,Lotus Root Salad,7.3,1.3,3.6
1663,Yummy Gastronomy Mainz,Mainz,Mediterranean,Hummus & Pita,12.48,4.8,2.7
1664,Fusion Bites Mainz,Mainz,Japanese,Shabu Shabu,10.59,4.4,2.7
1665,Smoky Oasis Siegen,Siegen,Turkish,Baklava,44.63,1.5,1.0
1666,Zesty Gastronomy Offenbach,Offenbach,Indian,Pav Bhaji,37.5,1.7,3.8
1667,Smoky Pizza House Bottrop,Bottrop,French,Escargots,42.14,2.8,1.6
1668,Zesty House Munich,Munich,Turkish,Karniyarik,58.46,1.3,1.0
1669,Smoky Oasis Augsburg,Augsburg,German,Eisbein mit Sauerkraut,4.05,1.0,2.9
1670,Divine House Hanover,Hanover,Indian,Tandoori Chicken,26.37,1.8,1.9
1671,Flavorful Delights Heilbronn,Heilbronn,Indian,Palak Paneer,35.21,1.3,4.1
1672,Fusion Cuisine Bremerhaven,Bremerhaven,Indian,Tandoori Chicken,24.72,4.0,3.5
1673,Fresh Grill Hamburg,Hamburg,Mexican,Guacamole & Chips,51.27,4.2,4.9
1674,Flavorful Feast Reutlingen,Reutlingen,Chinese,Wonton Soup,47.45,3.0,3.3
1675,Vibrant Grove Lübeck,Lübeck,Turkish,Baklava,22.72,3.5,1.1
1676,Fusion Food Spot Oberhausen,Oberhausen,Chinese,Sichuan Hot Pot,74.36,2.4,2.1
1677,Fresh Diner Salzgitter,Salzgitter,French,Duck Confit,30.97,1.8,2.3
1678,Heavenly Pizza House Halle (Saale),Halle (Saale),Thai,Larb Gai,9.48,1.5,3.1
1679,Smoky Hub Trier,Trier,Mediterranean,Tzatziki,41.53,2.6,3.0
1680,Delicious Resto Cologne,Cologne,Indian,Pav Bhaji,49.17,1.9,1.7
1681,Savory Retreat Trier,Trier,Italian,Caprese Salad,28.04,3.8,3.4
1682,Succulent Food Spot Trier,Trier,Turkish,Meze Platter,64.89,2.3,1.4
1683,Yummy Delights Wuppertal,Wuppertal,Chinese,Dim Sum,75.42,2.2,3.9
1684,Heavenly Cuisine Bremerhaven,Bremerhaven,German,Käsespätzle,22.06,2.6,3.0
1685,Fusion Eats Hamburg,Hamburg,Thai,Mango Sticky Rice,77.97,1.7,1.7
1686,Exotic Table Dresden,Dresden,Mediterranean,Shawarma,15.87,1.8,2.4
1687,Rustic Cellar Bottrop,Bottrop,French,Moules Marinières,17.09,4.7,4.0
1688,Yummy Cuisine Bergisch Gladbach,Bergisch Gladbach,Thai,Massaman Curry,58.72,1.8,1.8
1689,Royal Tavern Stuttgart,Stuttgart,French,Coq au Vin,37.08,1.5,1.4
1690,Tasty Tavern Reutlingen,Reutlingen,Japanese,Tempura,10.18,3.3,2.1
1691,Sizzling Tavern Leipzig,Leipzig,Italian,Tiramisu,76.43,2.2,1.0
1692,Authentic Resto Dortmund,Dortmund,Indian,Butter Chicken,79.87,4.6,2.2
1693,Grand Cellar Mannheim,Mannheim,Mediterranean,Moussaka,47.72,1.0,2.3
1694,Tasty Retreat Bonn,Bonn,Chinese,Spring Rolls,75.56,2.4,1.2
1695,Golden Bites Munich,Munich,Mediterranean,Hummus & Pita,30.9,3.4,2.8
1696,Elegant Kitchen Münster,Münster,French,Ratatouille,62.88,3.3,1.6
1697,Royal Food Spot Essen,Essen,Mediterranean,Shakshuka,20.01,2.5,1.8
1698,Zesty Oasis Aachen,Aachen,Chinese,Kung Pao Chicken,60.04,2.5,4.4
1699,Divine Barbecue Siegen,Siegen,French,Cassoulet,46.66,1.7,4.6
1700,Royal Burger Spot Aachen,Aachen,Thai,Tod Mun Pla (Fish Cakes),69.79,4.3,1.9
1701,Authentic Corner Oberhausen,Oberhausen,Indian,Palak Paneer,69.81,2.3,1.6
1702,Grand Table Wuppertal,Wuppertal,French,Moules Marinières,68.42,2.1,4.7
1703,Crispy Kitchen Koblenz,Koblenz,Turkish,Baklava,70.79,4.0,3.0
1704,Grand Eats Wolfsburg,Wolfsburg,Chinese,Char Siu Pork,63.7,2.8,2.4
1705,Royal Cafe Halle (Saale),Halle (Saale),Chinese,Char Siu Pork,10.16,1.6,2.6
1706,Sizzling Eats Bergisch Gladbach,Bergisch Gladbach,Mediterranean,Spanakopita,78.48,2.9,2.4
1707,Spicy Retreat Bonn,Bonn,French,Moules Marinières,14.8,2.5,2.6
1708,Rustic Bites Lübeck,Lübeck,Chinese,Sweet & Sour Chicken,21.61,4.3,3.0
1709,Royal House Bielefeld,Bielefeld,Indian,Biryani,65.8,1.2,4.5
1710,Sizzling Eats Braunschweig,Braunschweig,Chinese,Wonton Soup,27.94,5.0,4.3
1711,Divine Tavern Reutlingen,Reutlingen,Indian,Rogan Josh,27.27,2.3,2.4
1712,Savory Gastronomy Augsburg,Augsburg,Italian,Bruschetta,34.01,3.2,1.2
1713,Fusion Bistro Wolfsburg,Wolfsburg,Mexican,Tamales,68.8,4.2,3.3
1714,Fresh Feast Stuttgart,Stuttgart,Thai,Mango Sticky Rice,72.78,2.4,1.6
1715,Savory Oasis Dortmund,Dortmund,Indian,Aloo Paratha,36.08,3.6,3.2
1716,Heavenly Den Augsburg,Augsburg,Thai,Pad Kra Pao,77.36,2.3,2.1
1717,Rustic Cafe Erlangen,Erlangen,Thai,Khao Soi,28.07,1.4,1.7
1718,Heavenly House Mainz,Mainz,Italian,Lasagna,42.46,2.3,1.5
1719,Zesty Eats Dortmund,Dortmund,Thai,Thai Fried Rice,55.17,2.9,1.3
1720,Smoky Barbecue Heidelberg,Heidelberg,Turkish,Pide,35.99,3.5,2.9
1721,Juicy Hub Stuttgart,Stuttgart,Indian,Gulab Jamun,1.92,2.8,1.5
1722,Exquisite Pizza House Munich,Munich,German,Weißwurst,23.62,1.1,4.1
1723,Exquisite Feast Mainz,Mainz,French,Moules Marinières,60.54,2.0,2.0
1724,Rustic Cuisine Hanover,Hanover,Japanese,Onigiri,66.94,1.1,2.6
1725,Flavorful Tavern Siegen,Siegen,German,Käsespätzle,52.33,1.1,2.7
1726,Golden Feast Chemnitz,Chemnitz,Mediterranean,Falafel,77.73,3.1,3.9
1727,Royal Gastronomy Duisburg,Duisburg,Mediterranean,Grilled Halloumi,4.61,3.9,2.9
1728,Flavorful Food Spot Bremerhaven,Bremerhaven,Indian,Paneer Butter Masala,77.56,3.9,1.1
1729,Golden House Bremerhaven,Bremerhaven,Mediterranean,Spanakopita,39.83,3.8,3.3
1730,Sizzling Grove Gelsenkirchen,Gelsenkirchen,Italian,Bruschetta,4.1,2.6,4.3
1731,Authentic Cafe Offenbach,Offenbach,Mediterranean,Paella,74.57,4.7,1.7
1732,Vibrant Cellar Bochum,Bochum,Indian,Rogan Josh,40.42,1.0,4.3
1733,Flavorful Cuisine Chemnitz,Chemnitz,Indian,Pav Bhaji,14.45,2.7,5.0
1734,Authentic Cafe Hamburg,Hamburg,German,Rinderroulade,58.22,2.8,1.6
1735,Spicy Burger Spot Augsburg,Augsburg,Mexican,Pozole,67.77,4.2,3.1
1736,Flavorful Oasis Berlin,Berlin,Thai,Tod Mun Pla (Fish Cakes),75.23,3.3,4.4
1737,Authentic Diner Gelsenkirchen,Gelsenkirchen,Indian,Biryani,52.86,1.2,4.2
1738,Smoky Hub Leverkusen,Leverkusen,Thai,Satay Skewers,6.17,3.2,2.1
1739,Authentic Gastronomy Dortmund,Dortmund,Italian,Gnocchi,20.93,1.3,3.9
1740,Yummy Barbecue Koblenz,Koblenz,German,Pretzel & Beer,33.42,1.9,4.0
1741,Delicious Palace Braunschweig,Braunschweig,German,Käsespätzle,74.52,3.2,1.4
1742,Fresh Nest Munich,Munich,Mediterranean,Falafel,75.4,1.2,2.7
1743,Yummy Tavern Reutlingen,Reutlingen,Turkish,Menemen,66.39,4.5,3.5
1744,Smoky Barbecue Regensburg,Regensburg,Turkish,Kumpir,45.98,1.4,2.4
1745,Savory Resto Dortmund,Dortmund,Mexican,Tamales,45.28,1.4,1.8
1746,Tasty Food Spot Wolfsburg,Wolfsburg,Japanese,Okonomiyaki,44.11,2.8,3.9
1747,Juicy Gastronomy Bremerhaven,Bremerhaven,Chinese,Dim Sum,32.83,2.8,2.0
1748,Zesty Kitchen Salzgitter,Salzgitter,German,Bratwurst,17.69,1.9,3.1
1749,Yummy Barbecue Berlin,Berlin,Mexican,Elote,34.57,3.3,1.5
1750,Authentic Grill Bochum,Bochum,Indian,Rogan Josh,48.3,4.0,2.9
1751,Exotic Corner Bonn,Bonn,Japanese,Natto with Rice,2.39,1.4,2.4
1752,Juicy Gastronomy Mülheim,Mülheim,Chinese,Sesame Chicken,26.56,3.4,1.7
1753,Royal Bites Chemnitz,Chemnitz,Chinese,Kung Pao Chicken,70.48,1.3,1.1
1754,Spicy Burger Spot Bottrop,Bottrop,Thai,Pla Rad Prik (Fried Fish with Chili Sauce),18.64,2.6,1.4
1755,Zesty Flavors Gelsenkirchen,Gelsenkirchen,German,Haxe (Pork Knuckle),59.97,4.5,2.3
1756,Fusion Table Munich,Munich,Mexican,Burrito,59.91,4.4,2.6
1757,Exquisite Cellar Braunschweig,Braunschweig,Mediterranean,Grilled Halloumi,7.77,2.4,2.9
1758,Delicious Kitchen Duisburg,Duisburg,Chinese,Spring Rolls,53.66,1.5,4.6
1759,Exotic Retreat Nuremberg,Nuremberg,Turkish,Simit,6.26,4.6,4.4
1760,Elegant Pizza House Erlangen,Erlangen,French,Coq au Vin,56.71,3.5,2.8
1761,Succulent Food Spot Kassel,Kassel,Mediterranean,Kibbeh,26.91,1.1,3.8
1762,Grand Cafe Kassel,Kassel,German,Maultaschen,48.14,2.7,3.6
1763,Spicy Burger Spot Koblenz,Koblenz,Mexican,Fajitas,74.56,1.6,4.0
1764,Heavenly Palace Gelsenkirchen,Gelsenkirchen,German,Käsespätzle,68.6,3.8,3.0
1765,Heavenly Pizza House Aachen,Aachen,Mexican,Pozole,60.17,1.2,4.1
1766,Grand Hub Leipzig,Leipzig,Chinese,Bok Choy Stir Fry,9.49,1.5,4.0
1767,Zesty Burger Spot Chemnitz,Chemnitz,Thai,Pad Kra Pao,21.17,1.4,4.1
1768,Tasty Feast Münster,Münster,Indian,Rogan Josh,58.58,1.5,1.6
1769,Authentic Cellar Trier,Trier,Turkish,Lahmacun Wrap,48.32,2.3,1.0
1770,Savory Gastronomy Berlin,Berlin,Japanese,Udon Noodles,75.59,4.2,4.2
1771,Heavenly Tavern Bergisch Gladbach,Bergisch Gladbach,Mexican,Chiles Rellenos,38.91,3.0,1.4
1772,Spicy Diner Herne,Herne,Japanese,Natto with Rice,76.67,3.5,4.9
1773,Elegant Oasis Trier,Trier,Indian,Tandoori Chicken,34.25,2.2,2.9
1774,Fusion Eats Trier,Trier,Japanese,Soba Noodles,2.98,3.9,1.8
1775,Grand Hub Oberhausen,Oberhausen,Italian,Lasagna,48.17,2.7,1.9
1776,Delicious Gastronomy Essen,Essen,Thai,Larb Gai,52.32,4.6,2.1
1777,Tasty Pizza House Hanover,Hanover,Indian,Gulab Jamun,7.82,3.9,3.7
1778,Fresh Cuisine Hamburg,Hamburg,Italian,Risotto,39.09,4.1,5.0
1779,Divine Eats Düsseldorf,Düsseldorf,Japanese,Takoyaki,65.21,1.7,3.9
1780,Cozy Feast Braunschweig,Braunschweig,Thai,Pad Kra Pao,34.36,3.0,4.5
1781,Succulent Delights Münster,Münster,Mexican,Chiles Rellenos,45.33,2.6,2.4
1782,Tasty Resto Herne,Herne,Mexican,Horchata,27.68,3.6,1.9
1783,Grand Cuisine Munich,Munich,Japanese,Ramen Bowl,37.24,1.8,4.7
1784,Cozy Tavern Magdeburg,Magdeburg,Turkish,Baklava,71.44,2.0,4.1
1785,Exquisite Flavors Halle (Saale),Halle (Saale),Turkish,Köfte,51.65,2.0,3.7
1786,Delicious Resto Magdeburg,Magdeburg,Mexican,Burrito,28.98,2.6,5.0
1787,Royal Bites Wolfsburg,Wolfsburg,Japanese,Soba Noodles,22.39,2.3,3.6
1788,Elegant Heaven Hamburg,Hamburg,Mexican,Burrito,15.6,4.6,4.4
1789,Fresh House Chemnitz,Chemnitz,Mexican,Tamales,15.48,4.0,1.0
1790,Royal Pizza House Stuttgart,Stuttgart,Italian,Gnocchi,13.56,3.8,4.7
1791,Flavorful Cellar Magdeburg,Magdeburg,Mexican,Churros,31.24,2.1,4.9
1792,Succulent Palace Mülheim,Mülheim,German,Rinderroulade,26.93,2.1,2.5
1793,Cozy Nest Magdeburg,Magdeburg,Chinese,Sweet & Sour Chicken,66.3,3.4,1.8
1794,Cozy Tavern Berlin,Berlin,French,Soufflé,77.13,1.7,4.9
1795,Authentic Cafe Leipzig,Leipzig,French,Baguette with Cheese,8.73,4.2,2.5
1796,Royal Flavors Essen,Essen,Indian,Aloo Paratha,11.51,3.9,4.1
1797,Savory Eats Aachen,Aachen,German,Haxe (Pork Knuckle),59.35,2.1,1.9
1798,Tasty Palace Kassel,Kassel,Japanese,Soba Noodles,45.27,2.3,4.5
1799,Elegant Kitchen Mainz,Mainz,Chinese,Fried Rice,75.72,4.6,3.9
1800,Grand Grill Salzgitter,Salzgitter,Italian,Arancini,70.4,4.3,2.2
1801,Fusion Table Wuppertal,Wuppertal,German,Haxe (Pork Knuckle),65.0,4.8,2.8
1802,Juicy Gastronomy Erlangen,Erlangen,Turkish,Adana Kebab,78.03,1.3,2.1
1803,Vibrant Nest Trier,Trier,French,Macarons,78.67,4.3,1.3
1804,Flavorful Cafe Lübeck,Lübeck,Italian,Pasta Carbonara,39.9,1.8,2.2
1805,Elegant Cellar Offenbach,Offenbach,French,Cassoulet,22.97,4.7,3.1
1806,Tasty Barbecue Kassel,Kassel,Japanese,Sushi Combo,51.48,4.0,3.7
1807,Vibrant Retreat Wuppertal,Wuppertal,Indian,Samosa,47.83,3.5,1.4
1808,Vibrant Cuisine Aachen,Aachen,Indian,Biryani,57.7,4.5,4.8
1809,Savory Hub Mainz,Mainz,French,Crème Brûlée,76.68,2.5,1.7
1810,Yummy Diner Hamburg,Hamburg,Mediterranean,Baba Ganoush,11.25,2.2,1.6
1811,Savory Den Munich,Munich,Japanese,Shabu Shabu,20.53,1.0,4.8
1812,Golden Diner Erlangen,Erlangen,Chinese,Lotus Root Salad,46.59,4.9,3.6
1813,Authentic Palace Trier,Trier,Japanese,Natto with Rice,32.34,3.6,3.8
1814,Tasty Bites Bonn,Bonn,Thai,Larb Gai,38.96,1.4,4.8
1815,Tasty Gastronomy Münster,Münster,Turkish,Menemen,48.09,4.2,2.8
1816,Rustic Burger Spot Erlangen,Erlangen,German,Leberkäse,22.09,2.2,3.0
1817,Sizzling Tavern Dortmund,Dortmund,German,Maultaschen,50.89,2.3,2.9
1818,Spicy Eats Heilbronn,Heilbronn,Turkish,Şiş Kebab,69.61,3.2,2.5
1819,Yummy Diner Bergisch Gladbach,Bergisch Gladbach,French,Beef Bourguignon,67.69,4.9,4.8
1820,Juicy Feast Siegen,Siegen,German,Bratwurst,74.08,3.6,2.7
1821,Savory Cuisine Münster,Münster,Mexican,Enchiladas,41.6,4.7,3.7
1822,Yummy House Nuremberg,Nuremberg,Chinese,Bok Choy Stir Fry,4.58,3.7,1.2
1823,Royal Nest Bergisch Gladbach,Bergisch Gladbach,Japanese,Chirashi Sushi,49.54,1.2,2.0
1824,Yummy Feast Braunschweig,Braunschweig,German,Spätzle,40.66,4.2,2.7
1825,Succulent Cafe Bergisch Gladbach,Bergisch Gladbach,Turkish,Manti,52.57,3.2,3.7
1826,Succulent Gastronomy Bielefeld,Bielefeld,Mexican,Fajitas,73.36,3.8,2.0
1827,Exotic Cuisine Aachen,Aachen,Mediterranean,Manakeesh,75.99,1.3,1.6
1828,Delicious Palace Nuremberg,Nuremberg,Chinese,Century Egg Congee,74.11,2.9,4.7
1829,Golden Table Siegen,Siegen,Turkish,Adana Kebab,17.57,3.3,2.1
1830,Juicy House Siegen,Siegen,German,Zwiebelkuchen,42.01,2.2,3.1
1831,Heavenly Feast Mainz,Mainz,Italian,Parmigiana,44.76,2.7,2.0
1832,Heavenly Food Spot Koblenz,Koblenz,German,Currywurst,54.24,1.6,2.1
1833,Crispy Eats Hamburg,Hamburg,Mediterranean,Kibbeh,1.58,1.3,2.4
1834,Heavenly Retreat Bremerhaven,Bremerhaven,Thai,Tom Kha Gai,70.65,3.2,1.1
1835,Tasty Grove Augsburg,Augsburg,Mexican,Ceviche,44.85,1.7,4.6
1836,Exotic Cafe Leverkusen,Leverkusen,Japanese,Yakitori,20.67,3.5,1.9
1837,Divine Diner Essen,Essen,Mediterranean,Shakshuka,72.71,1.5,4.0
1838,Sizzling Nest Bottrop,Bottrop,Mexican,Chiles Rellenos,24.08,2.8,4.8
1839,Gourmet Cellar Dortmund,Dortmund,Japanese,Chirashi Sushi,68.62,2.1,4.1
1840,Divine Den Bergisch Gladbach,Bergisch Gladbach,Mediterranean,Dolma,15.96,1.4,4.1
1841,Exotic Kitchen Reutlingen,Reutlingen,Mexican,Pozole,37.42,1.1,3.7
